model,mean gini,stdev gini,mean coef_variation,stdev coef_variation,mean mean_deg,stdev mean_deg,mean clustering,stdev clustering,mean transitivity,stdev transitivity,mean triangles,stdev triangles
ground truth,0.4484868349175133,,1.1585878753722612,,4.300884955752212,,0.08602124684215437,,0.026954177897574125,,1.3539823008849559,
ER,0.18205675923100406,0.0,0.3209017549331831,0.0,7.699115044247788,0.0,0.029656258196081187,3.469446951953614e-18,0.030701754385964907,3.469446951953614e-18,1.6194690265486726,0.0
spatial_null,0.307622504537205,5.551115123125783e-17,0.5626357091517395,0.0,3.1448275862068966,0.0,0.021899288451012588,3.469446951953614e-18,0.02094972067039106,0.0,0.10344827586206898,1.3877787807814457e-17
