[INFO] Using device: cpu
[INFO] Nodes: 7300, Val nodes (from held-out edges): 4652
[INFO] Train edges: 112763
[INFO] Val edges:   6633
[INFO] Test edges:  13266
[INFO] Saved validation set to results/grad_dotprods/valset.pt
Epoch: 077 | Loss: 1.0609 | AUC: 0.8901 | AP: 0.9115
Epoch: 078 | Loss: 1.0645 | AUC: 0.8866 | AP: 0.9094
Epoch: 079 | Loss: 1.0617 | AUC: 0.8908 | AP: 0.9119
Epoch: 080 | Loss: 1.0631 | AUC: 0.8921 | AP: 0.9127
Epoch: 081 | Loss: 1.0617 | AUC: 0.8878 | AP: 0.9101
Epoch: 082 | Loss: 1.0604 | AUC: 0.8885 | AP: 0.9105
Epoch: 083 | Loss: 1.0618 | AUC: 0.8932 | AP: 0.9132
Epoch: 084 | Loss: 1.0628 | AUC: 0.8903 | AP: 0.9116
Epoch: 085 | Loss: 1.0580 | AUC: 0.8884 | AP: 0.9105
Epoch: 086 | Loss: 1.0564 | AUC: 0.8926 | AP: 0.9129
Epoch: 087 | Loss: 1.0618 | AUC: 0.8921 | AP: 0.9126
Epoch: 088 | Loss: 1.0583 | AUC: 0.8894 | AP: 0.9109
Epoch: 089 | Loss: 1.0589 | AUC: 0.8940 | AP: 0.9136
Epoch: 090 | Loss: 1.0609 | AUC: 0.8930 | AP: 0.9130
Epoch: 091 | Loss: 1.0610 | AUC: 0.8909 | AP: 0.9118
Epoch: 092 | Loss: 1.0559 | AUC: 0.8960 | AP: 0.9147
Epoch: 093 | Loss: 1.0590 | AUC: 0.8940 | AP: 0.9135
Epoch: 094 | Loss: 1.0622 | AUC: 0.8914 | AP: 0.9120
Epoch: 095 | Loss: 1.0619 | AUC: 0.8968 | AP: 0.9151
Epoch: 096 | Loss: 1.0593 | AUC: 0.8978 | AP: 0.9156
Epoch: 097 | Loss: 1.0580 | AUC: 0.8950 | AP: 0.9139
Epoch: 098 | Loss: 1.0614 | AUC: 0.8966 | AP: 0.9149
Epoch: 099 | Loss: 1.0531 | AUC: 0.9011 | AP: 0.9174
Epoch: 100 | Loss: 1.0570 | AUC: 0.8997 | AP: 0.9166
[INFO] Saving dot product log at iteration 100 ...
Epoch: 101 | Loss: 1.0624 | AUC: 0.8961 | AP: 0.9144
Epoch: 102 | Loss: 1.0592 | AUC: 0.9051 | AP: 0.9196
Epoch: 103 | Loss: 1.0588 | AUC: 0.9047 | AP: 0.9194
Epoch: 104 | Loss: 1.0552 | AUC: 0.8993 | AP: 0.9161
Epoch: 105 | Loss: 1.0542 | AUC: 0.9022 | AP: 0.9177
Epoch: 106 | Loss: 1.0539 | AUC: 0.9077 | AP: 0.9209
Epoch: 107 | Loss: 1.0582 | AUC: 0.9076 | AP: 0.9208
Epoch: 108 | Loss: 1.0582 | AUC: 0.9037 | AP: 0.9185
Epoch: 109 | Loss: 1.0559 | AUC: 0.9053 | AP: 0.9193
Epoch: 110 | Loss: 1.0606 | AUC: 0.9091 | AP: 0.9216
Epoch: 111 | Loss: 1.0560 | AUC: 0.9095 | AP: 0.9218
Epoch: 112 | Loss: 1.0589 | AUC: 0.9069 | AP: 0.9201
Epoch: 113 | Loss: 1.0574 | AUC: 0.9064 | AP: 0.9198
Epoch: 114 | Loss: 1.0554 | AUC: 0.9100 | AP: 0.9219
Epoch: 115 | Loss: 1.0567 | AUC: 0.9109 | AP: 0.9225
Epoch: 116 | Loss: 1.0565 | AUC: 0.9086 | AP: 0.9210
Epoch: 117 | Loss: 1.0605 | AUC: 0.9076 | AP: 0.9203
Epoch: 118 | Loss: 1.0589 | AUC: 0.9097 | AP: 0.9216
Epoch: 119 | Loss: 1.0539 | AUC: 0.9109 | AP: 0.9225
Epoch: 120 | Loss: 1.0590 | AUC: 0.9088 | AP: 0.9212
Epoch: 121 | Loss: 1.0591 | AUC: 0.9066 | AP: 0.9197
Epoch: 122 | Loss: 1.0523 | AUC: 0.9085 | AP: 0.9209
Epoch: 123 | Loss: 1.0543 | AUC: 0.9102 | AP: 0.9221
Epoch: 124 | Loss: 1.0597 | AUC: 0.9084 | AP: 0.9209
Epoch: 125 | Loss: 1.0557 | AUC: 0.9058 | AP: 0.9192
Epoch: 126 | Loss: 1.0543 | AUC: 0.9066 | AP: 0.9198
Epoch: 127 | Loss: 1.0598 | AUC: 0.9077 | AP: 0.9205
Epoch: 128 | Loss: 1.0564 | AUC: 0.9060 | AP: 0.9195
Epoch: 129 | Loss: 1.0561 | AUC: 0.9033 | AP: 0.9177
Epoch: 130 | Loss: 1.0543 | AUC: 0.9037 | AP: 0.9179
Epoch: 131 | Loss: 1.0543 | AUC: 0.9049 | AP: 0.9187
Epoch: 132 | Loss: 1.0597 | AUC: 0.9051 | AP: 0.9189
Epoch: 133 | Loss: 1.0573 | AUC: 0.9040 | AP: 0.9182
Epoch: 134 | Loss: 1.0527 | AUC: 0.9043 | AP: 0.9183
Epoch: 135 | Loss: 1.0590 | AUC: 0.9044 | AP: 0.9184
Epoch: 136 | Loss: 1.0541 | AUC: 0.9044 | AP: 0.9184
Epoch: 137 | Loss: 1.0545 | AUC: 0.9039 | AP: 0.9180
Epoch: 138 | Loss: 1.0567 | AUC: 0.9040 | AP: 0.9181
Epoch: 139 | Loss: 1.0604 | AUC: 0.9041 | AP: 0.9181
Epoch: 140 | Loss: 1.0564 | AUC: 0.9050 | AP: 0.9187
Epoch: 141 | Loss: 1.0546 | AUC: 0.9046 | AP: 0.9184
Epoch: 142 | Loss: 1.0586 | AUC: 0.9031 | AP: 0.9175
Epoch: 143 | Loss: 1.0531 | AUC: 0.9034 | AP: 0.9177
Epoch: 144 | Loss: 1.0593 | AUC: 0.9032 | AP: 0.9176
Epoch: 145 | Loss: 1.0565 | AUC: 0.9019 | AP: 0.9167
Epoch: 146 | Loss: 1.0577 | AUC: 0.9017 | AP: 0.9166
Epoch: 147 | Loss: 1.0566 | AUC: 0.9032 | AP: 0.9176
Epoch: 148 | Loss: 1.0581 | AUC: 0.9034 | AP: 0.9177
Epoch: 149 | Loss: 1.0589 | AUC: 0.9009 | AP: 0.9161
Epoch: 150 | Loss: 1.0568 | AUC: 0.9000 | AP: 0.9156
[INFO] Saving dot product log at iteration 150 ...
Epoch: 151 | Loss: 1.0560 | AUC: 0.9016 | AP: 0.9166
Epoch: 152 | Loss: 1.0571 | AUC: 0.9014 | AP: 0.9165
Epoch: 153 | Loss: 1.0556 | AUC: 0.9001 | AP: 0.9156
Epoch: 154 | Loss: 1.0556 | AUC: 0.9018 | AP: 0.9166
Epoch: 155 | Loss: 1.0548 | AUC: 0.9031 | AP: 0.9174
Epoch: 156 | Loss: 1.0577 | AUC: 0.9001 | AP: 0.9156
Epoch: 157 | Loss: 1.0540 | AUC: 0.8990 | AP: 0.9150
Epoch: 158 | Loss: 1.0547 | AUC: 0.8998 | AP: 0.9155
Epoch: 159 | Loss: 1.0506 | AUC: 0.8998 | AP: 0.9155
Epoch: 160 | Loss: 1.0545 | AUC: 0.8994 | AP: 0.9151
Epoch: 161 | Loss: 1.0561 | AUC: 0.9005 | AP: 0.9157
Epoch: 162 | Loss: 1.0558 | AUC: 0.9021 | AP: 0.9168
